,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
0,Arzoo,87,1950,128.0,Musical,7.0,Shaheed Latif,Kamini Kaushal,Dilip Kumar,Shashikala,Neelam,49,1950-1960,6.0
1,The Dancing Years,90,1950,98.0,Drama,6.2,Harold French,Dennis Price,Gisèle Préville,Patricia Dainton,Anthony Nicholls,61,1950-1960,6.0
2,Babul,76,1950,142.0,Drama,7.3,S.U. Sunny,Nargis,Dilip Kumar,Amar,A. Shah Shikarpuri,73,1950-1960,6.0
3,High Lonesome,63,1950,81.0,Western,5.4,Alan Le May,John Drew Barrymore,Chill Wills,John Archer,Lois Butler,201,1950-1960,6.0
4,The Desert Hawk,96,1950,77.0,Action,5.6,Frederick De Cordova,Yvonne De Carlo,Richard Greene,Jackie Gleason,George Macready,214,1950-1960,6.0
5,The Eagle and the Hawk,69,1950,104.0,Western,6.0,Lewis R. Foster,John Payne,Rhonda Fleming,Dennis O'Keefe,Thomas Gomez,242,1950-1960,6.0
6,This Side of the Law,83,1950,74.0,Drama,6.4,Richard L. Bare,Viveca Lindfors,Kent Smith,Janis Paige,Robert Douglas,270,1950-1960,6.0
7,Cudotvorni mac,75,1950,101.0,Fantasy,8.0,Vojislav Nanovic,Rade Markovic,Vera Ilic-Djukic,Milivoje Zivanovic,Marko Marinkovic,357,1950-1960,6.0
8,State Secret,20,1950,104.0,Drama,7.1,Sidney Gilliat,Douglas Fairbanks Jr.,Glynis Johns,Jack Hawkins,Walter Rilla,410,1950-1960,6.0
9,"So Young, So Bad",84,1950,91.0,Drama,6.2,Bernard Vorhaus,Edgar G. Ulmer,Paul Henreid,Catherine McLeod,Grace Coppin,481,1950-1960,6.0
10,Our Very Own,97,1950,93.0,Drama,6.7,David Miller,Ann Blyth,Farley Granger,Joan Evans,Jane Wyatt,564,1950-1960,6.0
11,A Ticket to Tomahawk,88,1950,90.0,Comedy,6.1,Richard Sale,Dan Dailey,Anne Baxter,Rory Calhoun,Walter Brennan,577,1950-1960,6.0
12,Edge of Doom,82,1950,99.0,Crime,6.4,Mark Robson,Dana Andrews,Farley Granger,Joan Evans,Robert Keith,596,1950-1960,6.0
13,Guilty Bystander,1,1950,91.0,Crime,6.1,Joseph Lerner,Zachary Scott,Faye Emerson,Mary Boland,Sam Levene,713,1950-1960,6.0
14,The Miniver Story,72,1950,104.0,Drama,6.4,H.C. Potter,Victor Saville,Greer Garson,Walter Pidgeon,John Hodiak,725,1950-1960,6.0
15,September Affair,66,1950,104.0,Drama,6.8,William Dieterle,Joan Fontaine,Joseph Cotten,Françoise Rosay,Jessica Tandy,737,1950-1960,6.0
16,Odette,98,1950,124.0,Drama,6.9,Herbert Wilcox,Anna Neagle,Trevor Howard,Marius Goring,Peter Ustinov,749,1950-1960,6.0
17,Two Flags West,45,1950,92.0,Drama,6.7,Robert Wise,Joseph Cotten,Linda Darnell,Jeff Chandler,Cornel Wilde,774,1950-1960,6.0
18,Two Weeks with Love,100,1950,90.0,Comedy,6.9,Roy Rowland,Jane Powell,Ricardo Montalban,Louis Calhern,Ann Harding,775,1950-1960,6.0
19,The Secret Fury,12,1950,85.0,Crime,6.7,Mel Ferrer,Claudette Colbert,Robert Ryan,Jane Cowl,Paul Kelly,801,1950-1960,6.0
20,Colt .45,35,1950,74.0,Western,6.0,Edwin L. Marin,Randolph Scott,Ruth Roman,Zachary Scott,Lloyd Bridges,847,1950-1960,6.0
21,Rocky Mountain,18,1950,83.0,Action,6.8,William Keighley,Errol Flynn,Patrice Wymore,Scott Forbes,Guinn 'Big Boy' Williams,994,1950-1960,6.0
22,American Guerrilla in the Philippines,93,1950,105.0,Drama,6.1,Fritz Lang,Tyrone Power,Micheline Presle,Tom Ewell,Robert Patten,1014,1950-1960,6.0
23,The Second Woman,89,1950,91.0,Drama,6.4,James V. Kern,Robert Young,Betsy Drake,John Sutton,Florence Bates,1052,1950-1960,6.0
24,Kansas Raiders,38,1950,80.0,Western,6.2,Ray Enright,Audie Murphy,Brian Donlevy,Marguerite Chapman,Scott Brady,1067,1950-1960,6.0
25,Chain Lightning,49,1950,94.0,Action,6.0,Stuart Heisler,Humphrey Bogart,Eleanor Parker,Raymond Massey,Richard Whorf,1146,1950-1960,6.0
26,Francis,95,1950,91.0,Comedy,6.5,Arthur Lubin,Donald O'Connor,Patricia Medina,Zasu Pitts,Ray Collins,1172,1950-1960,6.0
27,Borderline,92,1950,88.0,Crime,6.1,William A. Seiter,Fred MacMurray,Claire Trevor,Raymond Burr,José Torvay,1190,1950-1960,6.0
28,Dallas,25,1950,94.0,Romance,6.3,Stuart Heisler,Gary Cooper,Ruth Roman,Steve Cochran,Raymond Massey,1226,1950-1960,6.0
29,711 Ocean Drive,54,1950,102.0,Action,6.9,Joseph M. Newman,Edmond O'Brien,Joanne Dru,Otto Kruger,Barry Kelley,1305,1950-1960,6.0
30,The Killer That Stalked New York,13,1950,79.0,Drama,6.4,Earl McEvoy,Evelyn Keyes,Charles Korvin,William Bishop,Dorothy Malone,1390,1950-1960,6.0
31,The Big Lift,78,1950,120.0,Drama,6.5,George Seaton,Montgomery Clift,Paul Douglas,Cornell Borchers,Bruni Löbel,1437,1950-1960,6.0
32,Devil's Doorway,94,1950,84.0,Romance,7.2,Anthony Mann,Robert Taylor,Louis Calhern,Paula Raymond,Marshall Thompson,1446,1950-1960,6.0
33,The Sound of Fury,91,1950,91.0,Crime,7.2,Cy Endfield,Frank Lovejoy,Kathleen Ryan,Richard Carlson,Lloyd Bridges,1457,1950-1960,6.0
34,Last Holiday,80,1950,88.0,Comedy,7.4,Henry Cass,Alec Guinness,Beatrice Campbell,Kay Walsh,Grégoire Aslan,1574,1950-1960,6.0
35,Three Little Words,81,1950,102.0,Biography,7.0,Richard Thorpe,Fred Astaire,Vera-Ellen,Red Skelton,Arlene Dahl,1651,1950-1960,6.0
36,Harriet Craig,68,1950,94.0,Drama,7.3,Vincent Sherman,Joan Crawford,Wendell Corey,Lucile Watson,Allyn Joslyn,1664,1950-1960,6.0
37,The Blue Lamp,36,1950,84.0,Crime,6.9,Basil Dearden,Jack Warner,Dirk Bogarde,Jimmy Hanley,Robert Flemyng,1723,1950-1960,6.0
38,Three Came Home,79,1950,106.0,Drama,7.3,Jean Negulesco,Claudette Colbert,Patric Knowles,Florence Desmond,Sessue Hayakawa,1750,1950-1960,6.0
39,So Long at the Fair,85,1950,86.0,Drama,7.2,Antony Darnborough,Terence Fisher,Jean Simmons,Dirk Bogarde,David Tomlinson,1757,1950-1960,6.0
40,Tea for Two,39,1950,98.0,Comedy,6.5,David Butler,Doris Day,Gordon MacRae,Gene Nelson,Eve Arden,1760,1950-1960,6.0
41,Kim,60,1950,113.0,Adventure,6.6,Victor Saville,Errol Flynn,Dean Stockwell,Paul Lukas,Robert Douglas,1842,1950-1960,6.0
42,Kiss Tomorrow Goodbye,86,1950,102.0,Crime,7.1,Gordon Douglas,James Cagney,Barbara Payton,Helena Carter,Ward Bond,1849,1950-1960,6.0
